id;year;earning1;season;Nindnme;returnSe
25;2008;-3.507287;3;S;-0.3044248
25;2008;3.171864;4;S;-0.0451128
25;2009;-9.668951;1;S;0.3472585
25;2009;2.891886;2;S;0.7865385
25;2009;1.127871;3;S;-0.204521
25;2009;5.005894;4;S;0.4980079
25;2010;-0.3322089;1;F;0.1237928
25;2010;0.7747833;2;F;-0.3158308
25;2010;0.7302992;3;F;0.1551925
25;2010;1.977559;4;F;-0.0584089
26;2007;8.235869;1;C3;1.009077
26;2007;8.449274;2;C3;0.1506457
26;2007;12.67053;3;C3;0.4126582
26;2007;14.98707;4;C3;-0.3169795
26;2008;5.663855;1;C3;-0.0511861
26;2008;17.52724;2;C3;-0.4407895
26;2008;32.69678;3;C3;-0.3352736
26;2008;83.02827;4;C3;-0.1323793
26;2009;9.840146;1;C3;0.6222222
26;2009;18.67414;2;C3;0.0508054
26;2009;26.72495;3;C3;-0.052071
26;2009;40.66142;4;C3;0.6195787
26;2010;8.652615;1;F;0.0494672
26;2010;14.80871;2;F;-0.0785303
26;2010;27.61191;3;F;0.1719844
26;2010;33.48632;4;F;0.1412904
27;2007;33.39861;1;D;0.5119331
27;2007;42.26152;2;D;0.7903861
27;2007;40.53472;3;D;0.2567748
27;2007;68.92848;4;D;-0.151325
27;2008;8.294037;1;D;-0.4211382
27;2008;20.73935;2;D;-0.4115574
27;2008;55.58199;3;D;-0.0107016
27;2008;65.72655;4;D;-0.0085365
27;2009;10.87062;1;D;0.4760147
27;2009;50.67778;2;D;-0.0746269
27;2009;64.03146;3;D;-0.0160142
27;2009;82.91986;4;D;0.2074801
27;2010;18.6684;1;D;-0.0442992
27;2010;39.03579;2;D;-0.2787878
27;2010;66.95428;3;D;0.0761209
27;2010;63.90981;4;D;-0.0270009
28;2007;12.51395;1;C2;0.4809782
28;2007;19.84781;2;C2;-0.0528715
28;2007;28.05994;3;C2;0.7891222
28;2007;36.84529;4;C2;0.1961723
28;2008;8.295585;1;C2;-0.2426926
28;2008;19.68102;2;C2;-0.0388007
28;2008;32.53548;3;C2;-0.2386706
28;2008;61.36031;4;C2;0.3128
28;2009;11.33712;1;C2;0.0579881
28;2009;23.50053;2;C2;0.05
28;2009;33.88814;3;C2;0.1861702
28;2009;36.90565;4;C2;0.2151009
28;2010;9.547024;1;F;0.0035997
28;2010;16.95276;2;F;0.025825
28;2010;28.38653;3;F;0.3237863
28;2010;33.4138;4;F;-0.1361257
29;2007;0.2564982;1;K;0.3861789
29;2007;1.272849;2;K;0.0277372
29;2007;2.001479;3;K;0.4149253
29;2007;5.520128;4;K;-0.1773196
29;2008;0.3101965;1;K;-0.15
29;2008;2.809942;2;K;-0.4335766
29;2008;4.626206;3;K;-0.2268042
29;2008;9.548121;4;K;-0.0972223
29;2009;0.3241951;1;K;0.4301886
29;2009;2.208496;2;K;0.3641161
29;2009;2.053166;3;K;-0.0581395
29;2009;2.5913;4;K;0.4534412
29;2010;0.9610355;1;K;-0.0679612
29;2010;11.98906;2;K;-0.3407738
29;2010;14.78787;3;K;0.1936937
