id,year,returnSe,season,earning1,Nindnme
10,2017,-0.2551622,2,-0.0828967,E
10,2017,0.0594059,3,0.0289026,E
10,2017,0.0130841,4,-2.42231,E
11,2007,0.5105263,1,-0.0217883,S
11,2007,0.398374,2,-0.0374084,S
11,2007,0.2126246,3,-0.0507019,S
11,2007,-0.1328767,4,-0.0390437,S
11,2008,-0.3491311,1,-0.0082736,S
11,2008,-0.2682038,2,-0.0078848,S
11,2008,-0.3880597,3,-0.0441747,S
11,2008,0.0542006,4,0.055482,S
11,2009,0.7017994,1,0.0988887,S
11,2009,0.3323263,2,0.3342804,S
11,2009,0.452381,3,0.3783223,S
11,2009,-0.1654958,4,0.1575343,S
11,2010,0.0991581,1,0.0050277,K
11,2010,-0.3106383,2,0.204163,K
11,2010,0.0271604,3,0.316029,K
11,2010,-0.1790865,4,0.3980795,K
11,2011,0.1317716,1,0.7886435,K
11,2011,0.5743855,2,0.7337528,K
11,2011,-0.326212,3,0.4766088,K
11,2011,-0.2475609,4,0.5942264,K
11,2012,0.0858995,1,0.0167498,K
11,2012,0.1164179,2,0.2777384,K
11,2012,-0.184492,3,0.4418884,K
11,2012,0.1786886,4,1.162931,K
11,2013,-0.1418637,1,0.622164,K
11,2013,0.2852512,2,1.084643,K
11,2013,0.0807062,3,0.8502636,K
11,2013,-0.0886814,4,0.6643765,K
11,2014,0.0128041,1,0.0671871,K
11,2014,-0.1517067,2,0.268157,K
11,2014,0.2309985,3,0.9113964,K
11,2014,0.2082324,4,0.9566074,K
11,2015,0.2034069,1,0.0006758,K
11,2015,0.2406328,2,0.049108,K
11,2015,-0.3107382,3,0.0590082,K
11,2015,0.4138267,4,0.2889945,K
11,2016,-0.0199725,1,0.0007521,K
11,2016,-0.0590302,2,-0.0069808,K
11,2016,0.2688573,3,-0.0101803,K
11,2016,0.1024132,4,0.3952928,K
11,2017,-0.1340096,1,0.3047538,K
11,2017,0.2330457,2,0.4251415,K
11,2017,-0.03,3,0.5452263,K
11,2017,-0.134536,4,0.6077417,K
12,2007,0.3545454,1,0.1125751,C3
12,2007,-0.1147651,2,0.2271475,C3
12,2007,0.8195603,3,0.5164016,C3
12,2007,-0.1125,4,0.4169391,C3
12,2008,-0.1530516,1,0.1435145,C3
12,2008,-0.1790466,2,0.3446347,C3
12,2008,-0.2943957,3,0.5605336,C3
12,2008,-0.1866029,4,0.6070716,C3
12,2009,1.031765,1,0.1036168,C3
12,2009,-0.0926462,2,0.2122047,C3
12,2009,-0.0772176,3,0.5187035,C3
12,2009,0.3554634,4,0.8159742,C3
12,2010,0.1117347,1,0.2189903,C3
12,2010,-0.5800827,2,0.4159819,C3
12,2010,0.7267761,3,0.9507065,C3
12,2010,0.25,4,0.769123,C3
12,2011,0.043038,1,0.1736651,C3
12,2011,-0.1990291,2,0.3395457,C3
12,2011,-0.1430303,3,0.5684157,C3
12,2011,-0.3592645,4,0.720112,C3
12,2012,-0.0110376,1,0.1207625,C3
12,2012,0.0044643,2,0.2498635,C3
12,2012,-0.2122222,3,0.4053034,C3
12,2012,0.1636107,4,0.3973251,C3
12,2013,-0.0909091,1,0.119751,C3
12,2013,0.2360001,2,0.4182873,C3
12,2013,-0.0765912,3,0.5987654,C3
12,2013,-0.0490654,4,1.442727,C3
12,2014,-0.0319411,1,0.1246393,C3
12,2014,-0.1332487,2,0.5966436,C3
12,2014,0.1537336,3,0.8700848,C3
12,2014,0.1281726,4,0.8289103,C3
12,2015,0.2227221,1,0.0769522,C3
12,2015,0.2272309,2,0.1545827,C3
12,2015,-0.3343328,3,0.233506,C3
12,2015,0.5033784,4,0.4698256,C3
12,2016,-0.1850187,1,0.1168803,C3
12,2016,0.0533088,2,0.3257788,C3
12,2016,-0.0148342,3,0.4776702,C3
12,2016,0.0044287,4,0.5425923,C3
12,2017,-0.0379189,1,0.1183812,C3
12,2017,-0.1448213,2,0.2794135,C3
12,2017,-0.1071811,3,0.5892891,C3
12,2017,0.0144057,4,0.6589287,C3
14,2007,0.5615491,1,-0.0418459,K
14,2007,0.3268379,2,-0.033636,K
14,2007,0.2850468,3,-0.0627054,K
14,2008,-0.2374026,1,-0.0491887,K
14,2008,0.0272479,2,-0.1357207,K
14,2008,-0.6140584,3,-0.2247972,K
14,2008,0.2646048,4,0.3718261,K
14,2009,0.5461956,1,-0.0249183,K
14,2009,0.301406,2,0.136448,K
14,2009,-0.095206,3,0.2316114,K
14,2009,0.1567165,4,0.3077018,K
14,2010,-0.1096774,1,0.2216,K
14,2010,-0.2876812,2,0.2456698,K
14,2010,0.0986775,3,0.2642819,K
14,2010,-0.1490741,4,0.3563005,K
14,2011,0.0957563,1,-0.037195,K
14,2011,-0.2075471,2,0.0537365,K
14,2011,-0.2293233,3,0.1412779,K
14,2011,-0.203252,4,0.5210296,K
14,2012,0.077551,1,-0.0098304,K
14,2012,0.8371211,2,-0.0807388,K
14,2012,-0.1412371,3,-0.0789083,K
14,2012,0.0180072,4,0.1974466,K
14,2013,0.0471699,1,0.0035858,K
14,2013,-0.0540541,2,-0.0196512,K
14,2013,0.2666668,3,-0.0361884,K
14,2013,-0.0357143,4,0.1640516,K
14,2014,-0.0350878,1,0.140956,K
14,2014,0.0141414,2,0.1482845,K
14,2014,0.5129482,3,0.0890037,K
14,2014,-0.0915075,4,0.2049128,K
14,2015,0.4891303,1,0.0021019,K
14,2015,0.1664234,2,0.0373419,K
14,2015,-0.328327,3,-0.0011869,K
14,2015,0.4167701,4,0.1644697,K
14,2016,-0.2078036,1,-0.0105175,K
14,2016,0.0249032,2,-0.0284286,K
14,2016,0.1576674,3,-0.048391,K
14,2016,-0.0303171,4,0.0673195,K
14,2017,-0.1269842,1,-0.0080775,K
14,2017,-0.0721763,2,0.0116613,K
14,2017,-0.0053444,3,0.0169958,K
14,2017,-0.3564179,4,0.0325233,K
16,2007,0.6682693,1,0.1535195,C3
16,2007,0.1383285,2,0.1448788,C3
16,2007,0.1772152,3,0.1717267,C3
16,2007,-0.0451613,4,0.5765793,C3
16,2008,-0.0990991,1,0.1361401,C3
16,2008,-0.53125,2,0.2679792,C3
16,2008,-0.144,3,0.6582961,C3
16,2008,-0.0186916,4,1.084068,C3
16,2009,0.5333332,1,0.1454781,C3
16,2009,0.0186336,2,0.1944784,C3
16,2009,-0.1321138,3,0.2743185,C3
16,2009,0.8009368,4,0.43238,C3
16,2010,0.029909,1,0.0648588,C3
